"Intercept" "X1" "X2" "X3" "X4" "X5" "Latitude" "Longitude" "Intercept_p" "X1_p" "X2_p" "X3_p" "X4_p" "X5_p" "local.R2.GWPR"
"28" -5.69251017545685 0.276915832899761 -0.00109101128159816 0.826325360878684 7.11418074173724e-07 0.206307432344943 -6.479679 106.824965 0.536 0.024 0.003 0.344 0.403 0.162 0.971993633071131
"29" 6.61316750190599 0.348835157816183 -0.0025388983626394 1.59087031234446 -1.85652702001438e-06 0.170009838872971 -6.915727 106.932576 0.102 0.021 0 0.004 0.096 0.013 0.902134650534079
"30" 9.31697040986182 0.320521975106914 -0.00190513421037587 0.62013669043489 -3.01678890212375e-06 0.176932778374024 -6.822558 107.139542 0.022 0.009 0 0.007 0 0.003 0.892589812344296
"31" 17.1957736107724 0.24516311669494 -7.84911959470277e-05 -2.06792949890962 -1.43497756579266e-06 0.149138703610532 -7.012851 107.528627 0.001 0.003 0.447 0 0.003 0.063 0.963975986592491
"32" -1.90593910068492 0.242486834617935 -0.00162528241047236 2.42836891572365 -3.01749278029977e-06 0.123452014458479 -7.202988 107.885592 0.699 0.072 0 0 0 0.056 0.953010693842349
"33" -0.501064906116881 0.167299581224256 -0.00350192824249618 4.71949890976055 -3.18618003399061e-06 0.0765290829263279 -7.361212 108.112488 0.931 0.346 0 0 0.006 0.281 0.974977626692323
"34" -5.25121275824949 0.744446639928739 -0.0023769474003655 4.28831977161204 4.00315947089594e-06 -0.0675288793378854 -7.325788 108.3514 0.313 0 0 0 0 0.198 0.952228798887911
"35" 27.2722237224934 0.196752524141971 -0.00163018356279329 1.18726554403599 4.55272235967176e-06 -0.205834243355241 -6.976233 108.482982 0 0.039 0 0.013 0.001 0.005 0.982190711994623
"36" 24.5099848365317 -0.0248697718994322 -0.00273819124231952 2.62152442064712 8.0574603757448e-06 -0.15725448466867 -6.764507 108.478858 0 0.796 0 0 0 0.038 0.978805987286315
"37" 24.0330930444425 0.0558713516604996 -0.00190519305612894 1.05687790574774 3.94092505524857e-06 -0.0702532648277554 -6.836531 108.227876 0 0.523 0 0.046 0.016 0.285 0.972049147731151
"38" 11.6116650181384 -0.0780312663194032 -0.000489355608457732 -0.75432523753156 -1.18344688028425e-06 0.163409957016981 -6.861126 107.920102 0.011 0.279 0 0 0.006 0.011 0.94062687858658
"39" 21.641048964826 0.22283846227765 -0.0025318754761976 2.04608354624725 9.44983824521795e-06 -0.101653109026302 -6.327234 108.322903 0.05 0.843 0.287 0.311 0.657 0.9 0.999262138917707
"40" 16.2011308807687 0.0270695497062192 -0.00082980383763278 -0.381047373111812 1.58921235210419e-06 0.0544479184680426 -6.571549 107.762495 0 0.798 0 0.008 0.011 0.389 0.857787135328513
"41" 15.616016582062 0.155510674557519 -0.000580737890015712 -0.983617905005303 -1.58519839591853e-06 0.104752117338563 -6.551701 107.446541 0 0.11 0 0 0 0.091 0.872502431313256
"42" -15.6842879370015 0.356792000011776 0.000208804552454422 -1.22249544992042 -2.35086095261977e-06 0.461242534736414 -6.301721 107.30529 0.102 0.055 0.472 0.007 0.001 0.002 0.933379116737889
"43" -6.97228071095378 0.472553110489876 0.000758260911986774 -2.13515604316819 -3.68368324900467e-07 0.291260915501027 -6.364614 107.172509 0.391 0 0.002 0 0.233 0.024 0.960503072774052
"44" 17.7554335457025 0.261062890364521 -0.000340886992383042 -1.21334827644929 -2.70557495385438e-07 0.0392107518059532 -6.840651 107.512302 0 0.001 0 0 0.403 0.481 0.954712244255883
"45" 12.3073301616969 -0.18593644201087 -0.00281652460668053 2.5168893580942 -7.62288539550831e-07 0.0473850088390861 -7.701397 108.495155 0.56 0.582 0.02 0.209 0.711 0.718 0.784348672487653
"46" 12.2487192569588 0.141067023880808 -0.00123376505551421 0.728381982757597 5.24551101936774e-07 -0.00853508331667285 -6.594946 106.794913 0.02 0.219 0 0.041 0.105 0.909 0.963998387841271
"47" 6.58085692744589 0.353917748262361 -0.00253158421960442 1.5527910718103 -1.98946425249884e-06 0.175091222679825 -6.918366 106.931496 0.104 0.02 0 0.006 0.091 0.012 0.902197458744357
"48" 17.3482823411605 0.245649207842405 -0.000242643348435566 -1.53656485038128 -8.05085841919541e-07 0.0871662771287021 -6.910786 107.609757 0 0.002 0.003 0 0.019 0.154 0.960727494271595
"49" 25.7402896152053 -0.0281648954432683 -0.00265649419251177 2.60871257678366 8.11519897324386e-06 -0.188819183095774 -6.707076 108.557818 0 0.791 0 0.001 0 0.026 0.976676222134843
"50" -7.80532430923631 0.501828287608301 0.000569243352574689 -1.83235957228194 1.65446183477476e-07 0.283230321371263 -6.236221 106.994293 0.319 0 0.002 0 0.549 0.021 0.977219431414834
"51" -9.96617174787025 0.322593509235773 -0.000992777404384221 0.72255718030317 6.63416899318375e-07 0.264165664933955 -6.394473 106.822692 0.261 0.008 0.006 0.41 0.442 0.071 0.975029852347085
"52" 17.185865920158 0.259290542798951 -0.000309669878765802 -1.33625631809877 -4.58021462895231e-07 0.0643906073566001 -6.87121 107.555486 0 0.001 0 0 0.165 0.294 0.958069514866476
"53" -3.60171285856813 0.122148117300327 -0.00361291407452075 5.29300389289332 -1.20284179171864e-06 0.05252671836746 -7.316436 108.1971 0.52 0.465 0 0 0.247 0.45 0.971533809692647
"54" 1.55443730861589 0.727429556260546 -0.00351527931780857 3.76142246326565 1.61292320899695e-06 0.0761056658449917 -7.362487 108.55887 0.84 0 0 0 0.143 0.197 0.862990525838826
"55" -5.69251017545685 0.276915832899761 -0.00109101128159816 0.826325360878684 7.11418074173724e-07 0.206307432344943 -6.479679 106.824965 0.536 0.024 0.003 0.344 0.403 0.162 0.971993633071131
"56" 6.61316750190599 0.348835157816183 -0.0025388983626394 1.59087031234446 -1.85652702001438e-06 0.170009838872971 -6.915727 106.932576 0.102 0.021 0 0.004 0.096 0.013 0.902134650534079
"57" 9.31697040986182 0.320521975106914 -0.00190513421037587 0.62013669043489 -3.01678890212375e-06 0.176932778374024 -6.822558 107.139542 0.022 0.009 0 0.007 0 0.003 0.892589812344296
"58" 17.1957736107724 0.24516311669494 -7.84911959470277e-05 -2.06792949890962 -1.43497756579266e-06 0.149138703610532 -7.012851 107.528627 0.001 0.003 0.447 0 0.003 0.063 0.963975986592491
"59" -1.90593910068492 0.242486834617935 -0.00162528241047236 2.42836891572365 -3.01749278029977e-06 0.123452014458479 -7.202988 107.885592 0.699 0.072 0 0 0 0.056 0.953010693842349
"60" -0.501064906116881 0.167299581224256 -0.00350192824249618 4.71949890976055 -3.18618003399061e-06 0.0765290829263279 -7.361212 108.112488 0.931 0.346 0 0 0.006 0.281 0.974977626692323
"61" -5.25121275824949 0.744446639928739 -0.0023769474003655 4.28831977161204 4.00315947089594e-06 -0.0675288793378854 -7.325788 108.3514 0.313 0 0 0 0 0.198 0.952228798887911
"62" 27.2722237224934 0.196752524141971 -0.00163018356279329 1.18726554403599 4.55272235967176e-06 -0.205834243355241 -6.976233 108.482982 0 0.039 0 0.013 0.001 0.005 0.982190711994623
"63" 24.5099848365317 -0.0248697718994322 -0.00273819124231952 2.62152442064712 8.0574603757448e-06 -0.15725448466867 -6.764507 108.478858 0 0.796 0 0 0 0.038 0.978805987286315
"64" 24.0330930444425 0.0558713516604996 -0.00190519305612894 1.05687790574774 3.94092505524857e-06 -0.0702532648277554 -6.836531 108.227876 0 0.523 0 0.046 0.016 0.285 0.972049147731151
"65" 11.6116650181384 -0.0780312663194032 -0.000489355608457732 -0.75432523753156 -1.18344688028425e-06 0.163409957016981 -6.861126 107.920102 0.011 0.279 0 0 0.006 0.011 0.94062687858658
"66" 21.641048964826 0.22283846227765 -0.0025318754761976 2.04608354624725 9.44983824521795e-06 -0.101653109026302 -6.327234 108.322903 0.05 0.843 0.287 0.311 0.657 0.9 0.999262138917707
"67" 16.2011308807687 0.0270695497062192 -0.00082980383763278 -0.381047373111812 1.58921235210419e-06 0.0544479184680426 -6.571549 107.762495 0 0.798 0 0.008 0.011 0.389 0.857787135328513
"68" 15.616016582062 0.155510674557519 -0.000580737890015712 -0.983617905005303 -1.58519839591853e-06 0.104752117338563 -6.551701 107.446541 0 0.11 0 0 0 0.091 0.872502431313256
"69" -15.6842879370015 0.356792000011776 0.000208804552454422 -1.22249544992042 -2.35086095261977e-06 0.461242534736414 -6.301721 107.30529 0.102 0.055 0.472 0.007 0.001 0.002 0.933379116737889
"70" -6.97228071095378 0.472553110489876 0.000758260911986774 -2.13515604316819 -3.68368324900467e-07 0.291260915501027 -6.364614 107.172509 0.391 0 0.002 0 0.233 0.024 0.960503072774052
"71" 17.7554335457025 0.261062890364521 -0.000340886992383042 -1.21334827644929 -2.70557495385438e-07 0.0392107518059532 -6.840651 107.512302 0 0.001 0 0 0.403 0.481 0.954712244255883
"72" 12.3073301616969 -0.18593644201087 -0.00281652460668053 2.5168893580942 -7.62288539550831e-07 0.0473850088390861 -7.701397 108.495155 0.56 0.582 0.02 0.209 0.711 0.718 0.784348672487653
"73" 12.2487192569588 0.141067023880808 -0.00123376505551421 0.728381982757597 5.24551101936774e-07 -0.00853508331667285 -6.594946 106.794913 0.02 0.219 0 0.041 0.105 0.909 0.963998387841271
"74" 6.58085692744589 0.353917748262361 -0.00253158421960442 1.5527910718103 -1.98946425249884e-06 0.175091222679825 -6.918366 106.931496 0.104 0.02 0 0.006 0.091 0.012 0.902197458744357
"75" 17.3482823411605 0.245649207842405 -0.000242643348435566 -1.53656485038128 -8.05085841919541e-07 0.0871662771287021 -6.910786 107.609757 0 0.002 0.003 0 0.019 0.154 0.960727494271595
"76" 25.7402896152053 -0.0281648954432683 -0.00265649419251177 2.60871257678366 8.11519897324386e-06 -0.188819183095774 -6.707076 108.557818 0 0.791 0 0.001 0 0.026 0.976676222134843
"77" -7.80532430923631 0.501828287608301 0.000569243352574689 -1.83235957228194 1.65446183477476e-07 0.283230321371263 -6.236221 106.994293 0.319 0 0.002 0 0.549 0.021 0.977219431414834
"78" -9.96617174787025 0.322593509235773 -0.000992777404384221 0.72255718030317 6.63416899318375e-07 0.264165664933955 -6.394473 106.822692 0.261 0.008 0.006 0.41 0.442 0.071 0.975029852347085
"79" 17.185865920158 0.259290542798951 -0.000309669878765802 -1.33625631809877 -4.58021462895231e-07 0.0643906073566001 -6.87121 107.555486 0 0.001 0 0 0.165 0.294 0.958069514866476
"80" -3.60171285856813 0.122148117300327 -0.00361291407452075 5.29300389289332 -1.20284179171864e-06 0.05252671836746 -7.316436 108.1971 0.52 0.465 0 0 0.247 0.45 0.971533809692647
"81" 1.55443730861589 0.727429556260546 -0.00351527931780857 3.76142246326565 1.61292320899695e-06 0.0761056658449917 -7.362487 108.55887 0.84 0 0 0 0.143 0.197 0.862990525838826
"82" -5.69251017545685 0.276915832899761 -0.00109101128159816 0.826325360878684 7.11418074173724e-07 0.206307432344943 -6.479679 106.824965 0.536 0.024 0.003 0.344 0.403 0.162 0.971993633071131
"83" 6.61316750190599 0.348835157816183 -0.0025388983626394 1.59087031234446 -1.85652702001438e-06 0.170009838872971 -6.915727 106.932576 0.102 0.021 0 0.004 0.096 0.013 0.902134650534079
"84" 9.31697040986182 0.320521975106914 -0.00190513421037587 0.62013669043489 -3.01678890212375e-06 0.176932778374024 -6.822558 107.139542 0.022 0.009 0 0.007 0 0.003 0.892589812344296
"85" 17.1957736107724 0.24516311669494 -7.84911959470277e-05 -2.06792949890962 -1.43497756579266e-06 0.149138703610532 -7.012851 107.528627 0.001 0.003 0.447 0 0.003 0.063 0.963975986592491
"86" -1.90593910068492 0.242486834617935 -0.00162528241047236 2.42836891572365 -3.01749278029977e-06 0.123452014458479 -7.202988 107.885592 0.699 0.072 0 0 0 0.056 0.953010693842349
"87" -0.501064906116881 0.167299581224256 -0.00350192824249618 4.71949890976055 -3.18618003399061e-06 0.0765290829263279 -7.361212 108.112488 0.931 0.346 0 0 0.006 0.281 0.974977626692323
"88" -5.25121275824949 0.744446639928739 -0.0023769474003655 4.28831977161204 4.00315947089594e-06 -0.0675288793378854 -7.325788 108.3514 0.313 0 0 0 0 0.198 0.952228798887911
"89" 27.2722237224934 0.196752524141971 -0.00163018356279329 1.18726554403599 4.55272235967176e-06 -0.205834243355241 -6.976233 108.482982 0 0.039 0 0.013 0.001 0.005 0.982190711994623
"90" 24.5099848365317 -0.0248697718994322 -0.00273819124231952 2.62152442064712 8.0574603757448e-06 -0.15725448466867 -6.764507 108.478858 0 0.796 0 0 0 0.038 0.978805987286315
"91" 24.0330930444425 0.0558713516604996 -0.00190519305612894 1.05687790574774 3.94092505524857e-06 -0.0702532648277554 -6.836531 108.227876 0 0.523 0 0.046 0.016 0.285 0.972049147731151
"92" 11.6116650181384 -0.0780312663194032 -0.000489355608457732 -0.75432523753156 -1.18344688028425e-06 0.163409957016981 -6.861126 107.920102 0.011 0.279 0 0 0.006 0.011 0.94062687858658
"93" 21.641048964826 0.22283846227765 -0.0025318754761976 2.04608354624725 9.44983824521795e-06 -0.101653109026302 -6.327234 108.322903 0.05 0.843 0.287 0.311 0.657 0.9 0.999262138917707
"94" 16.2011308807687 0.0270695497062192 -0.00082980383763278 -0.381047373111812 1.58921235210419e-06 0.0544479184680426 -6.571549 107.762495 0 0.798 0 0.008 0.011 0.389 0.857787135328513
"95" 15.616016582062 0.155510674557519 -0.000580737890015712 -0.983617905005303 -1.58519839591853e-06 0.104752117338563 -6.551701 107.446541 0 0.11 0 0 0 0.091 0.872502431313256
"96" -15.6842879370015 0.356792000011776 0.000208804552454422 -1.22249544992042 -2.35086095261977e-06 0.461242534736414 -6.301721 107.30529 0.102 0.055 0.472 0.007 0.001 0.002 0.933379116737889
"97" -6.97228071095378 0.472553110489876 0.000758260911986774 -2.13515604316819 -3.68368324900467e-07 0.291260915501027 -6.364614 107.172509 0.391 0 0.002 0 0.233 0.024 0.960503072774052
"98" 17.7554335457025 0.261062890364521 -0.000340886992383042 -1.21334827644929 -2.70557495385438e-07 0.0392107518059532 -6.840651 107.512302 0 0.001 0 0 0.403 0.481 0.954712244255883
"99" 12.3073301616969 -0.18593644201087 -0.00281652460668053 2.5168893580942 -7.62288539550831e-07 0.0473850088390861 -7.701397 108.495155 0.56 0.582 0.02 0.209 0.711 0.718 0.784348672487653
"100" 12.2487192569588 0.141067023880808 -0.00123376505551421 0.728381982757597 5.24551101936774e-07 -0.00853508331667285 -6.594946 106.794913 0.02 0.219 0 0.041 0.105 0.909 0.963998387841271
"101" 6.58085692744589 0.353917748262361 -0.00253158421960442 1.5527910718103 -1.98946425249884e-06 0.175091222679825 -6.918366 106.931496 0.104 0.02 0 0.006 0.091 0.012 0.902197458744357
"102" 17.3482823411605 0.245649207842405 -0.000242643348435566 -1.53656485038128 -8.05085841919541e-07 0.0871662771287021 -6.910786 107.609757 0 0.002 0.003 0 0.019 0.154 0.960727494271595
"103" 25.7402896152053 -0.0281648954432683 -0.00265649419251177 2.60871257678366 8.11519897324386e-06 -0.188819183095774 -6.707076 108.557818 0 0.791 0 0.001 0 0.026 0.976676222134843
"104" -7.80532430923631 0.501828287608301 0.000569243352574689 -1.83235957228194 1.65446183477476e-07 0.283230321371263 -6.236221 106.994293 0.319 0 0.002 0 0.549 0.021 0.977219431414834
"105" -9.96617174787025 0.322593509235773 -0.000992777404384221 0.72255718030317 6.63416899318375e-07 0.264165664933955 -6.394473 106.822692 0.261 0.008 0.006 0.41 0.442 0.071 0.975029852347085
"106" 17.185865920158 0.259290542798951 -0.000309669878765802 -1.33625631809877 -4.58021462895231e-07 0.0643906073566001 -6.87121 107.555486 0 0.001 0 0 0.165 0.294 0.958069514866476
"107" -3.60171285856813 0.122148117300327 -0.00361291407452075 5.29300389289332 -1.20284179171864e-06 0.05252671836746 -7.316436 108.1971 0.52 0.465 0 0 0.247 0.45 0.971533809692647
"108" 1.55443730861589 0.727429556260546 -0.00351527931780857 3.76142246326565 1.61292320899695e-06 0.0761056658449917 -7.362487 108.55887 0.84 0 0 0 0.143 0.197 0.862990525838826
"109" -5.69251017545685 0.276915832899761 -0.00109101128159816 0.826325360878684 7.11418074173724e-07 0.206307432344943 -6.479679 106.824965 0.536 0.024 0.003 0.344 0.403 0.162 0.971993633071131
"110" 6.61316750190599 0.348835157816183 -0.0025388983626394 1.59087031234446 -1.85652702001438e-06 0.170009838872971 -6.915727 106.932576 0.102 0.021 0 0.004 0.096 0.013 0.902134650534079
"111" 9.31697040986182 0.320521975106914 -0.00190513421037587 0.62013669043489 -3.01678890212375e-06 0.176932778374024 -6.822558 107.139542 0.022 0.009 0 0.007 0 0.003 0.892589812344296
"112" 17.1957736107724 0.24516311669494 -7.84911959470277e-05 -2.06792949890962 -1.43497756579266e-06 0.149138703610532 -7.012851 107.528627 0.001 0.003 0.447 0 0.003 0.063 0.963975986592491
"113" -1.90593910068492 0.242486834617935 -0.00162528241047236 2.42836891572365 -3.01749278029977e-06 0.123452014458479 -7.202988 107.885592 0.699 0.072 0 0 0 0.056 0.953010693842349
"114" -0.501064906116881 0.167299581224256 -0.00350192824249618 4.71949890976055 -3.18618003399061e-06 0.0765290829263279 -7.361212 108.112488 0.931 0.346 0 0 0.006 0.281 0.974977626692323
"115" -5.25121275824949 0.744446639928739 -0.0023769474003655 4.28831977161204 4.00315947089594e-06 -0.0675288793378854 -7.325788 108.3514 0.313 0 0 0 0 0.198 0.952228798887911
"116" 27.2722237224934 0.196752524141971 -0.00163018356279329 1.18726554403599 4.55272235967176e-06 -0.205834243355241 -6.976233 108.482982 0 0.039 0 0.013 0.001 0.005 0.982190711994623
"117" 24.5099848365317 -0.0248697718994322 -0.00273819124231952 2.62152442064712 8.0574603757448e-06 -0.15725448466867 -6.764507 108.478858 0 0.796 0 0 0 0.038 0.978805987286315
"118" 24.0330930444425 0.0558713516604996 -0.00190519305612894 1.05687790574774 3.94092505524857e-06 -0.0702532648277554 -6.836531 108.227876 0 0.523 0 0.046 0.016 0.285 0.972049147731151
"119" 11.6116650181384 -0.0780312663194032 -0.000489355608457732 -0.75432523753156 -1.18344688028425e-06 0.163409957016981 -6.861126 107.920102 0.011 0.279 0 0 0.006 0.011 0.94062687858658
"120" 21.641048964826 0.22283846227765 -0.0025318754761976 2.04608354624725 9.44983824521795e-06 -0.101653109026302 -6.327234 108.322903 0.05 0.843 0.287 0.311 0.657 0.9 0.999262138917707
"121" 16.2011308807687 0.0270695497062192 -0.00082980383763278 -0.381047373111812 1.58921235210419e-06 0.0544479184680426 -6.571549 107.762495 0 0.798 0 0.008 0.011 0.389 0.857787135328513
"122" 15.616016582062 0.155510674557519 -0.000580737890015712 -0.983617905005303 -1.58519839591853e-06 0.104752117338563 -6.551701 107.446541 0 0.11 0 0 0 0.091 0.872502431313256
"123" -15.6842879370015 0.356792000011776 0.000208804552454422 -1.22249544992042 -2.35086095261977e-06 0.461242534736414 -6.301721 107.30529 0.102 0.055 0.472 0.007 0.001 0.002 0.933379116737889
"124" -6.97228071095378 0.472553110489876 0.000758260911986774 -2.13515604316819 -3.68368324900467e-07 0.291260915501027 -6.364614 107.172509 0.391 0 0.002 0 0.233 0.024 0.960503072774052
"125" 17.7554335457025 0.261062890364521 -0.000340886992383042 -1.21334827644929 -2.70557495385438e-07 0.0392107518059532 -6.840651 107.512302 0 0.001 0 0 0.403 0.481 0.954712244255883
"126" 12.3073301616969 -0.18593644201087 -0.00281652460668053 2.5168893580942 -7.62288539550831e-07 0.0473850088390861 -7.701397 108.495155 0.56 0.582 0.02 0.209 0.711 0.718 0.784348672487653
"127" 12.2487192569588 0.141067023880808 -0.00123376505551421 0.728381982757597 5.24551101936774e-07 -0.00853508331667285 -6.594946 106.794913 0.02 0.219 0 0.041 0.105 0.909 0.963998387841271
"128" 6.58085692744589 0.353917748262361 -0.00253158421960442 1.5527910718103 -1.98946425249884e-06 0.175091222679825 -6.918366 106.931496 0.104 0.02 0 0.006 0.091 0.012 0.902197458744357
"129" 17.3482823411605 0.245649207842405 -0.000242643348435566 -1.53656485038128 -8.05085841919541e-07 0.0871662771287021 -6.910786 107.609757 0 0.002 0.003 0 0.019 0.154 0.960727494271595
"130" 25.7402896152053 -0.0281648954432683 -0.00265649419251177 2.60871257678366 8.11519897324386e-06 -0.188819183095774 -6.707076 108.557818 0 0.791 0 0.001 0 0.026 0.976676222134843
"131" -7.80532430923631 0.501828287608301 0.000569243352574689 -1.83235957228194 1.65446183477476e-07 0.283230321371263 -6.236221 106.994293 0.319 0 0.002 0 0.549 0.021 0.977219431414834
"132" -9.96617174787025 0.322593509235773 -0.000992777404384221 0.72255718030317 6.63416899318375e-07 0.264165664933955 -6.394473 106.822692 0.261 0.008 0.006 0.41 0.442 0.071 0.975029852347085
"133" 17.185865920158 0.259290542798951 -0.000309669878765802 -1.33625631809877 -4.58021462895231e-07 0.0643906073566001 -6.87121 107.555486 0 0.001 0 0 0.165 0.294 0.958069514866476
"134" -3.60171285856813 0.122148117300327 -0.00361291407452075 5.29300389289332 -1.20284179171864e-06 0.05252671836746 -7.316436 108.1971 0.52 0.465 0 0 0.247 0.45 0.971533809692647
"135" 1.55443730861589 0.727429556260546 -0.00351527931780857 3.76142246326565 1.61292320899695e-06 0.0761056658449917 -7.362487 108.55887 0.84 0 0 0 0.143 0.197 0.862990525838826
"136" -5.69251017545685 0.276915832899761 -0.00109101128159816 0.826325360878684 7.11418074173724e-07 0.206307432344943 -6.479679 106.824965 0.536 0.024 0.003 0.344 0.403 0.162 0.971993633071131
"137" 6.61316750190599 0.348835157816183 -0.0025388983626394 1.59087031234446 -1.85652702001438e-06 0.170009838872971 -6.915727 106.932576 0.102 0.021 0 0.004 0.096 0.013 0.902134650534079
"138" 9.31697040986182 0.320521975106914 -0.00190513421037587 0.62013669043489 -3.01678890212375e-06 0.176932778374024 -6.822558 107.139542 0.022 0.009 0 0.007 0 0.003 0.892589812344296
"139" 17.1957736107724 0.24516311669494 -7.84911959470277e-05 -2.06792949890962 -1.43497756579266e-06 0.149138703610532 -7.012851 107.528627 0.001 0.003 0.447 0 0.003 0.063 0.963975986592491
"140" -1.90593910068492 0.242486834617935 -0.00162528241047236 2.42836891572365 -3.01749278029977e-06 0.123452014458479 -7.202988 107.885592 0.699 0.072 0 0 0 0.056 0.953010693842349
"141" -0.501064906116881 0.167299581224256 -0.00350192824249618 4.71949890976055 -3.18618003399061e-06 0.0765290829263279 -7.361212 108.112488 0.931 0.346 0 0 0.006 0.281 0.974977626692323
